"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.660011438E1,-1.375737041E-1,1.053935289E0,-7.222766280E-1
2.669508938E1,1.757317334E-1,7.395694256E-1,-9.801790714E-1
2.679006338E1,4.832972288E-1,6.857700348E-1,-1.134783149E0
2.688504838E1,2.772352099E-1,5.622399449E-1,-1.412132502E0
2.698002338E1,-1.878660321E-1,2.425683588E-1,-1.669800878E0
2.707500338E1,-1.224110425E-1,2.420308590E-1,-1.603139400E0
2.716998138E1,-1.400087327E-1,1.018586308E-1,-1.168080807E0
2.726495238E1,2.077765018E-1,5.780160427E-1,-3.421584964E-1
2.735993638E1,1.254748344E0,-1.448632956E0,7.292336822E-1
2.745491438E1,4.797147810E-1,1.001054645E0,1.140593171E0
2.754989038E1,1.545842767E0,6.464958787E-1,2.098994255E0
2.764486038E1,-1.561195105E-1,-7.362657785E-1,1.554940343E0
2.773982638E1,1.184646606E0,1.976844221E-1,-4.189226627E-1
2.783482338E1,-9.701004624E-1,-2.826022148E0,-2.223112822E0
2.792980238E1,-2.020968676E0,1.235420823E0,-2.578174114E0
2.802475638E1,-1.303890347E0,-4.709489644E-1,-3.227398157E0
2.811975738E1,-1.598489761E0,-2.575976133E0,-3.080089569E0
2.821471238E1,-4.128316045E-1,1.018701911E0,-2.358902931E0
2.830471438E1,-1.431798376E-2,5.091884136E0,-1.228238821E0
2.839969438E1,7.424997091E-1,2.846881866E0,2.046124935E-1
2.849466838E1,5.815994143E-1,-1.761186495E-2,1.006042719E0
2.858964738E1,-1.533617258E0,1.268690228E0,1.489479303E0
2.868462638E1,-9.240557551E-1,-1.036953703E-1,2.037519693E0
2.877960238E1,3.408879340E-1,-1.177322268E0,1.680665612E0
2.887458038E1,4.849600196E-1,-2.900040627E0,7.151044607E-1
2.896955938E1,5.416878313E-2,-1.930926681E0,-5.605090857E-1
2.906451138E1,-5.802169908E-4,3.969848156E-1,-1.168980598E0
2.915451338E1,3.020044863E-1,2.016423941E0,-1.922604561E0
2.924949238E1,3.335081786E-2,2.647166252E0,-2.095927238E0
2.934447038E1,-3.615087569E-1,7.897690535E-1,-1.277228951E0
2.943942138E1,1.821351945E-1,-2.765729725E-1,-4.188661277E-1
2.952942538E1,3.377282061E-3,-1.575143576E0,4.305164814E-1
2.962440438E1,-1.587373972E0,-3.354751110E0,5.559800267E-1
2.971938338E1,-8.909060955E-1,-1.734802485E0,3.354898393E-1
2.981432938E1,9.640464187E-1,-3.826469481E-1,-2.694771290E-1
2.990932038E1,7.324287891E-1,3.783823013E0,1.546928007E-2
3.000430138E1,5.371738672E-1,2.978150368E0,1.174891829E0
3.009929038E1,-1.839796454E-1,-1.327277780E0,2.548930168E0
3.019426738E1,-6.569302678E-1,-3.023707390E0,3.951143980E0
3.028923438E1,-2.147221565E0,-3.660507441E0,3.824778795E0
3.038422238E1,-9.986309409E-1,-1.728383303E0,2.278751850E0
3.047920138E1,1.701149225E0,1.718412280E0,-1.309690714E0
3.057417938E1,4.451791763E0,5.688217163E0,-2.740265369E0
3.066915538E1,1.131997943E0,1.008265018E0,-6.931865215E-1
3.076413338E1,-3.821038961E0,-4.942209244E0,5.181432366E-1
3.085911338E1,-1.620746136E0,-5.155890942E0,9.090916514E-1
3.095408738E1,2.006559372E0,5.621819973E0,-1.211526394E0
3.104906638E1,3.819029331E0,2.946298361E0,-2.043828487E0
3.114404538E1,-1.202385306E0,-1.286864519E0,-1.793456316E0
3.123902038E1,-2.137276411E0,-4.286725044E0,6.028499827E-2
3.133384929E1,4.496670067E-1,-1.896168232E0,-5.739866495E-1
3.142880529E1,1.946042031E-1,6.225934029E-1,-1.797653079E0
3.151880529E1,1.472746849E0,-1.903971732E-1,-9.942027926E-1
3.161377029E1,9.871366620E-1,3.768851280E0,1.850316763E0
3.170875929E1,3.189208359E-2,1.716692924E0,3.328301430E0
3.180373729E1,-1.167673588E0,-1.103437185E0,5.264952183E-1
3.189870229E1,2.236873657E-1,-1.607438087E0,-1.511525989E0
3.199367929E1,1.445325017E0,1.392835826E-1,-1.758539557E0
3.208866929E1,-2.590870261E-1,-2.709231853E0,-7.637584805E-1
3.218364429E1,-1.907905102E0,-1.324944049E-1,2.739367187E-1
3.227860229E1,-1.163874492E-1,2.794624090E0,4.355601370E-1
3.237358729E1,3.130435944E0,1.458351135E0,-3.290814757E-1
3.246857629E1,1.482361674E0,1.999911070E0,-2.217288733E0
3.256353229E1,-2.712423325E0,-5.512415886E0,-4.458336830E0
3.265353329E1,-3.962341309E0,-3.936040163E0,-2.721556425E0
3.274849529E1,8.481183648E-2,-2.122196436E0,-4.763172269E-1
3.284348729E1,4.381555557E0,9.841589332E-1,3.854324520E-1
3.293846529E1,3.422038794E0,6.818368435E0,1.802260637E0
3.303344329E1,-2.744518995E0,1.564817667E0,9.645552933E-2
3.312841829E1,-1.157436848E0,1.960054874E0,-2.910656929E0
3.322339629E1,1.613682151E0,-2.568634510E0,-2.148921013E0
3.331837429E1,1.426849961E-1,-5.360669613E0,-7.299488038E-2
3.341335029E1,-4.759205878E-1,1.924026132E0,2.565334082E0
3.350832929E1,-1.801903009E0,8.223245740E-1,2.565932751E0
3.360328329E1,8.647361398E-1,-2.254781961E0,-3.492152318E-2
3.369328529E1,1.358283877E0,7.869776249E0,-3.397603989E0
3.378823329E1,3.436171770E0,-5.558326840E-1,-3.674085140E0
3.387823829E1,-1.689164877E0,-1.855925560E0,-2.053467035E0
3.397321629E1,-5.630616546E-1,-2.075257301E0,1.435167789E0
3.406819429E1,5.455615520E-1,1.022314310E0,4.336256504E0
3.416314229E1,-3.514045775E-1,-2.460022449E0,2.621200323E0
3.425314729E1,9.550768733E-1,-1.152242303E0,-4.954759777E-1
3.434811129E1,1.075191975E0,2.875113487E0,-3.052270889E0
3.444310429E1,6.067069769E-1,-6.204949379E0,-2.560364485E0
3.453805129E1,-6.568956971E-1,2.433726788E-1,-1.703843951E0
3.462805629E1,4.565253258E0,4.895250320E0,-2.533566475E0
3.472303529E1,1.038244605E0,-6.691749692E-1,-3.519027472E0
3.481801229E1,-1.462377787E0,-5.200977802E0,-3.630795479E0
3.491296529E1,-1.242342964E-1,1.706800699E0,-3.037444353E0
3.500795529E1,-5.187023431E-2,-1.716253161E0,-2.641796350E0
3.510294429E1,1.432855427E-1,-3.906847239E0,-2.241375446E0
3.519791929E1,1.827182174E0,2.627486467E0,-1.207622409E0
3.529287329E1,1.640184164E0,1.969524145E0,7.167559862E-2
3.538785929E1,-9.674400687E-1,-4.188372791E-1,4.766953886E-1
3.548284929E1,-1.463936806E0,-1.209812045E0,1.080345154E0
3.557782729E1,-1.114936829E0,5.951775312E-1,1.329977870E0
3.567280529E1,-3.749835491E-1,2.287423164E-1,1.515148401E0
3.576776629E1,7.355927825E-1,-1.855660230E-2,9.894998670E-1
3.586275829E1,6.566765904E-2,-1.814970016E0,2.542673945E-1
3.595773729E1,-6.847372651E-1,-2.069708824E0,-2.843639553E-1
3.605271129E1,-7.360681891E-1,7.577285171E-1,-5.453501940E-1
3.614768929E1,-1.042813420E0,2.242364585E-1,-5.524731874E-1
3.624266629E1,-1.993038133E-2,4.003739730E-2,-1.555248797E-1
3.633751512E1,3.038648367E-1,3.538419485E0,8.115957975E-1
3.643249212E1,1.875370860E0,-1.034113243E-1,3.407065868E0
3.652747112E1,9.093506932E-1,9.446631074E-1,4.784227371E0
3.662244512E1,6.182550788E-1,-1.740865469E0,6.453063965E0
3.671742312E1,2.784111023E0,1.491809487E0,6.635061264E0
3.681240112E1,2.065768242E0,6.556295872E0,6.055383205E0
3.690735112E1,-2.738870859E0,1.960327506E0,3.389092445E0
3.700234712E1,-3.162229061E0,-4.185708046E0,-1.523039341E0
3.709733212E1,-4.530231655E-1,5.751222610E0,-2.808280230E0
3.719228812E1,5.611749172E0,1.387940049E0,8.172105551E-1
