"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.741953354E1,-2.605879307E-1,1.407942325E-1,-1.215507984E-1
1.751449654E1,-1.779249460E-1,-1.888139993E-1,5.737286434E-2
1.760451054E1,-8.949834108E-2,-7.780992240E-2,-9.361529723E-3
1.769949954E1,-1.038433686E-1,3.635932878E-2,1.562236995E-2
1.779448954E1,-2.023254186E-1,2.663311660E-1,7.401320618E-3
1.788946454E1,-7.613825798E-2,5.454097316E-2,8.939285181E-4
1.798430525E1,1.066086069E-1,1.111218520E-2,-1.037722901E-1
1.807929625E1,4.795520902E-1,2.508017421E-2,8.500976115E-2
1.817427625E1,1.631371826E-1,7.619296014E-2,-1.546348780E-1
1.826924225E1,1.694679074E-2,-1.296231300E-1,-7.009599940E-4
1.836423825E1,3.000343740E-1,-2.127363831E-1,5.453967024E-3
1.845425225E1,7.081487030E-2,1.769423136E-3,-4.982354119E-3
1.854923925E1,-8.510998450E-3,1.061551869E-1,3.968054056E-2
1.864421025E1,-7.389412075E-2,1.971655637E-1,-7.421502471E-2
1.873920725E1,-1.547582150E-1,8.612476289E-2,-2.232284285E-2
1.882920825E1,-4.754527286E-2,7.814310491E-2,8.532652631E-3
1.892419525E1,-1.975301057E-1,-2.280296534E-1,1.404478699E-1
1.901918525E1,-1.315158010E-1,5.282989517E-2,1.601909101E-1
1.911414625E1,-2.133619189E-1,-2.370658331E-2,3.934423625E-2
1.920415425E1,-2.416137010E-1,1.756371409E-1,3.935989365E-2
1.929915325E1,-6.049096212E-2,9.358356893E-2,-1.194969267E-1
1.939412025E1,-1.605361253E-1,1.662334502E-1,7.124376483E-3
1.948412125E1,-6.440483034E-2,7.888358831E-1,-1.638442725E-1
1.957412125E1,2.926622927E-1,1.146524549E0,-4.229597151E-1
1.966911125E1,1.874577254E-1,9.959219694E-1,-3.711364567E-1
1.976409925E1,1.580289304E-1,4.478142560E-1,-4.323736951E-2
1.985908925E1,1.731655560E-2,1.298973337E-2,1.841014773E-1
1.995407825E1,-3.361539543E-1,-3.988093138E-2,1.138994768E-1
2.004906525E1,1.198993176E-1,-3.580069244E-1,1.257825643E-1
2.014405525E1,1.425760388E-1,-5.433878899E-1,1.565599442E-1
2.023904325E1,-1.001825258E-1,-5.058563948E-1,1.807921231E-1
2.033403425E1,-4.788622260E-1,8.958044648E-2,8.862242848E-2
2.042902325E1,-2.740114368E-2,-3.646806479E-1,2.022129446E-1
2.052401325E1,2.544203540E-3,-2.853832841E-1,-2.387991990E-4
2.061897825E1,3.373076767E-2,-1.453760564E-1,4.105131701E-2
2.070899025E1,1.472034156E-1,-8.571469039E-2,-8.703472465E-2
2.080398025E1,-3.168091550E-2,4.467632249E-2,-1.115883738E-1
2.089896925E1,-5.350691453E-2,1.204984114E-1,-6.734468043E-2
2.099393825E1,8.163014054E-2,2.622185089E-2,-3.801603615E-2
2.108394725E1,2.546182573E-1,-1.481137127E-1,-6.235446036E-2
2.117893625E1,3.975766897E-1,-1.776079088E-1,-1.120511368E-1
2.127392725E1,4.696361125E-1,-8.773794770E-2,-1.138645560E-1
2.136891425E1,-4.646134377E-2,3.709752113E-2,-1.244727597E-1
2.146390325E1,2.059044503E-2,-5.802309886E-2,-2.374670506E-1
2.155889025E1,3.067992926E-1,-1.335090995E-1,6.911027431E-2
2.165385625E1,-7.023313642E-2,-6.607106328E-2,-2.840761654E-2
2.174885425E1,-9.025906026E-2,-5.394387990E-2,8.854500949E-2
2.183886025E1,-1.583854854E-1,-7.015080750E-2,1.050242037E-1
2.193385025E1,-2.290275246E-1,7.250568271E-2,1.048658341E-1
2.202882925E1,-4.515292495E-2,7.542397082E-2,1.193468496E-1
2.212382625E1,1.096792668E-1,-4.570508003E-2,8.398187906E-2
2.221881725E1,4.738738239E-1,-4.299663007E-2,-1.310400069E-1
2.231380225E1,2.972719669E-1,1.762901694E-1,-6.750258803E-2
2.240876825E1,-3.331696242E-2,3.980411589E-1,-3.416900709E-2
2.250376425E1,-2.704115510E-1,2.330807149E-1,2.607764304E-2
2.259377425E1,-1.949951798E-1,4.427283704E-1,9.732399136E-2
2.268876225E1,-3.539144993E-1,3.587042391E-1,5.037423596E-2
2.278374025E1,-1.374335289E-1,2.889498174E-1,-2.734041307E-3
2.287873425E1,-1.165501103E-1,4.660115838E-1,-2.348635904E-2
2.297360437E1,-2.302774340E-1,6.188635230E-1,-9.546308964E-2
2.306858538E1,-1.052830070E-1,4.422817826E-1,-9.999419004E-2
2.315859738E1,-3.981943727E-1,5.334228873E-1,-2.223943621E-1
2.325356338E1,8.504269272E-2,5.615334376E-4,-5.812468752E-2
2.334356638E1,3.231607378E-1,-9.001572430E-2,-6.546977442E-3
2.343356838E1,6.138852239E-2,-7.073035091E-2,6.922824308E-3
2.352853637E1,-2.966053188E-1,-1.980191022E-1,5.168743432E-3
2.362353238E1,-2.702267468E-1,-4.021346197E-2,-3.249026462E-2
2.371852937E1,-3.764362633E-1,1.200787872E-1,-1.172097921E-1
2.381352238E1,-3.340913653E-1,1.278077960E-1,-9.340813756E-2
2.390851338E1,-9.282224625E-2,-8.518060669E-3,-1.712130941E-2
2.400347138E1,-5.531737115E-3,1.365060569E-3,-3.232964501E-2
2.409849038E1,1.079218313E-1,-1.566526890E-1,8.014225960E-2
2.419347938E1,-5.534066632E-2,-3.594267368E-1,-5.374192446E-2
2.428846638E1,9.720132947E-1,-2.514020681E0,2.551830113E-1
2.438345838E1,2.064409733E0,-4.153902531E0,9.131705761E-1
