"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.872705918E3,2.129322052E0,1.352886658E0,-9.424850922E0
4.872807096E3,2.207309875E0,1.155746613E0,-9.470056915E0
4.872908332E3,2.101779327E0,1.211131439E0,-9.453441467E0
4.873009537E3,2.171983337E0,1.289718018E0,-9.423803101E0
4.873110748E3,2.129920807E0,1.285227356E0,-9.417366486E0
4.873211949E3,2.137255554E0,1.234333191E0,-9.480984192E0
4.873313154E3,2.162253571E0,1.199755096E0,-9.372010803E0
4.873414353E3,2.177821198E0,1.287622375E0,-9.376351776E0
4.873515564E3,2.140698395E0,1.365310822E0,-9.518556061E0
4.873616763E3,2.130968628E0,1.176104279E0,-9.453740845E0
4.873717965E3,2.086361389E0,1.324445801E0,-9.413923645E0
4.873819194E3,2.144889679E0,1.281036072E0,-9.427844696E0
4.873920397E3,2.108066254E0,1.367406464E0,-9.399553528E0
4.874021580E3,2.126627655E0,1.488205261E0,-9.425749054E0
4.874122812E3,2.242636414E0,1.503473511E0,-9.397607574E0
4.874224019E3,2.055525513E0,1.415157166E0,-9.433083801E0
4.874325216E3,2.025737457E0,1.334624634E0,-9.438322906E0
4.874426426E3,2.175575867E0,1.581012268E0,-9.462871857E0
4.874527613E3,2.201921082E0,1.779798889E0,-9.319020996E0
4.874628829E3,2.138153687E0,1.603465576E0,-9.348060608E0
4.874730028E3,2.244881744E0,1.566342773E0,-9.298064575E0
4.874831211E3,2.075883179E0,1.719773712E0,-9.316625977E0
4.874932420E3,2.302362213E0,1.830094299E0,-9.405990143E0
4.875033622E3,2.103725281E0,2.015109558E0,-9.438622284E0
4.875134819E3,2.172133026E0,1.588047638E0,-9.320368195E0
4.875235996E3,2.320474548E0,1.866468658E0,-9.301956482E0
4.875337220E3,2.296823730E0,2.039209442E0,-9.219477997E0
4.875438386E3,2.383343811E0,1.938768311E0,-9.247020721E0
4.875539611E3,2.308200073E0,1.918560333E0,-9.174721069E0
4.875640800E3,2.227368164E0,1.885928192E0,-9.351204071E0
4.875741989E3,2.246528320E0,1.937121735E0,-9.124575348E0
4.875843163E3,2.076332245E0,2.175875244E0,-9.223369904E0
4.875944328E3,2.118394775E0,1.904339905E0,-9.447004852E0
4.876045498E3,2.148482208E0,2.198178864E0,-9.276509399E0
4.876146702E3,2.235900421E0,2.378703461E0,-9.297465820E0
4.876247879E3,2.199526062E0,2.514471130E0,-9.216184845E0
4.876349067E3,2.113604736E0,2.302960968E0,-9.211394806E0
4.876450230E3,2.066003723E0,2.209106140E0,-9.181606750E0
4.876551449E3,2.139351196E0,2.380799103E0,-9.239685974E0
4.876652623E3,2.233056335E0,2.431244202E0,-9.138646088E0
4.876753774E3,2.168839874E0,2.226769409E0,-9.222920837E0
4.876854983E3,2.127974854E0,2.277513885E0,-9.167835388E0
4.876956194E3,2.130369873E0,2.347568207E0,-9.273665314E0
4.877057386E3,2.145338745E0,2.252815247E0,-9.225465546E0
4.877158572E3,2.089205475E0,2.276466064E0,-9.286089478E0
4.877259732E3,2.179318085E0,2.153421936E0,-9.268575897E0
4.877360796E3,2.265838165E0,2.191742249E0,-9.324559479E0
4.877461987E3,2.370021515E0,2.302960968E0,-9.166937256E0
4.877563189E3,2.217189331E0,2.213147736E0,-9.169481964E0
4.877664373E3,2.237996063E0,2.069147186E0,-9.300160217E0
4.877765576E3,2.253563690E0,1.882485352E0,-9.325307922E0
4.877866767E3,2.351909180E0,1.907483368E0,-9.279203796E0
4.877967964E3,2.289039917E0,1.847907257E0,-9.304201813E0
4.878069131E3,2.183808746E0,1.433568878E0,-9.433083801E0
4.878170329E3,2.326162720E0,1.164578247E0,-9.421408081E0
4.878271529E3,2.380350037E0,1.296454010E0,-9.331145782E0
4.878372717E3,2.438728638E0,1.223555603E0,-9.366472321E0
4.878473932E3,2.491718445E0,1.234183502E0,-9.367969208E0
4.878575136E3,2.457290039E0,1.109642487E0,-9.369466095E0
