"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.369697317E1,1.393601990E0,3.993246002E0,8.370593262E0
1.379814517E1,1.275347900E0,3.791315918E0,8.703800354E0
1.389931117E1,-3.342549133E-1,2.847229156E0,9.429790649E0
1.400043717E1,6.390211487E-1,2.667303314E0,9.945917358E0
1.410158517E1,1.562001801E0,2.678230591E0,9.238338776E0
1.420274717E1,2.071242828E0,2.834056549E0,9.158854065E0
1.430390017E1,1.375938721E0,2.087259521E0,9.475296021E0
1.440505017E1,2.087409210E0,2.305206299E0,9.732910309E0
1.450619717E1,1.892963562E0,2.783761139E0,9.194180603E0
1.460735917E1,2.075134735E0,2.120640106E0,9.838141479E0
1.470851417E1,1.040635986E0,1.996548157E0,9.362430725E0
1.480964917E1,5.215155029E-1,8.192463684E-1,9.666149139E0
1.491080817E1,1.154698792E0,7.750881958E-1,9.776320038E0
1.501195917E1,7.973918152E-1,1.682201843E0,9.855355682E0
1.511311617E1,7.825726318E-1,2.957549744E0,9.013206940E0
1.521427017E1,-2.860551453E-1,2.196981354E0,9.770631866E0
1.531540617E1,1.443598022E0,6.511459351E-1,9.151519318E0
1.541656017E1,3.669169922E0,3.331771545E0,8.403225403E0
1.551770717E1,4.218377838E0,4.965025177E0,8.524922333E0
1.561881917E1,2.554737396E0,4.681365051E0,8.641978912E0
1.571999517E1,3.556304626E0,5.320236511E0,7.081174622E0
1.582114217E1,2.684966583E0,5.448220367E0,6.961723022E0
1.592228717E1,2.195484467E0,3.725003815E0,6.457122345E0
1.602342417E1,1.489253082E0,5.963898010E0,6.410120087E0
1.612458217E1,2.477048950E0,6.289770355E0,6.565796356E0
1.622570617E1,3.219355316E0,5.946683807E0,6.089486847E0
1.632689317E1,7.337741089E-1,4.744683380E0,9.093440094E0
1.642804017E1,1.197958832E0,3.920646973E0,9.434880066E0
1.652921417E1,2.243983612E0,3.932921448E0,8.835376740E0
1.663037117E1,1.980980530E0,2.490071869E0,1.034079620E1
1.673151917E1,1.621428223E0,1.976938934E0,9.156459045E0
